req_id,policy,src,dst,bytes,ready_ns,start_ns,stall_ns,setup_ns,resv_hit
0,CORD,0,2,268435456,1,1,0,0,True
,CORD,0,2,268435456,46874175,46874175,0,0,True
,CORD,0,2,93323264,97922877,97922877,0,0,True
1,CORD,0,3,175112192,97922877,108856109,10933232,10000000,False
,CORD,0,3,241696768,163781803,163781803,0,0,True
2,CORD,0,4,14417920,163781803,176198770,12416967,10000000,False
3,CORD,0,2,12320768,163781803,186342949,22561146,10000000,False
,CORD,0,2,268435456,236054063,236054063,0,0,True
,CORD,0,2,268435456,283128717,283128717,0,0,True
,CORD,0,2,268435456,334395627,334395627,0,0,True
,CORD,0,2,156631040,389548393,389548393,0,0,True
4,CORD,0,3,4456448,389548393,401114703,11566310,10000000,False
5,CORD,0,2,49020928,389548393,411159267,21610874,10000000,False
6,CORD,0,3,58327040,389548393,421649476,32101083,10000000,False
,CORD,0,3,268435456,480881999,480881999,0,0,True
,CORD,0,3,268435456,528738989,528738989,0,0,True
,CORD,0,3,268435456,580743819,580743819,0,0,True
,CORD,0,3,51904512,636679209,636679209,0,0,True
7,CORD,0,4,4456448,636679209,647198254,10519045,10000000,False
8,CORD,0,2,150077440,665664566,675664566,10000000,10000000,False
9,CORD,0,3,26345472,665664566,687165340,21500774,10000000,False
10,CORD,0,2,17956864,719664094,729664094,10000000,10000000,False
11,CORD,0,2,250478592,719664094,719664094,0,0,True
,CORD,0,2,268435456,776531932,776531932,0,0,True
,CORD,0,2,268435456,827342586,827342586,0,0,True
,CORD,0,2,186122240,882071192,882071192,0,0,True
12,CORD,0,3,203816960,14740409741,14740409741,0,0,True
13,CORD,0,4,268435456,14790203927,14790203927,0,0,True
,CORD,0,4,241827840,14837078101,14837078101,0,0,True
14,CORD,0,2,26607616,14837078101,14849496379,12418278,10000000,False
,CORD,0,2,212860928,14900538745,14900538745,0,0,True
15,CORD,0,4,51642368,14900538745,14912667354,12128609,10000000,False
16,CORD,0,2,3932160,14900538745,14923183777,22645032,10000000,False
,CORD,0,2,84541440,14970494699,14970494699,0,0,True
17,CORD,0,3,268435456,15089002380,15089002380,0,0,True
,CORD,0,3,268435456,15135876554,15135876554,0,0,True
,CORD,0,3,268435456,15186925256,15186925256,0,0,True
,CORD,0,3,169345024,15241857286,15241857286,0,0,True
18,CORD,0,4,20709376,15241857286,15253550736,11693450,10000000,False
19,CORD,0,2,78381056,15241857286,15263757829,21900543,10000000,False
,CORD,0,2,268435456,15322795119,15322795119,0,0,True
,CORD,0,2,268435456,15370975053,15370975053,0,0,True
,CORD,0,2,248119296,15423292619,15423292619,0,0,True
20,CORD,0,3,20316160,15423292619,15435773811,12481192,10000000,False
,CORD,0,3,79691776,15492025265,15492025265,0,0,True
21,CORD,0,4,188743680,15492025265,15502822182,10796917,10000000,False
,CORD,0,4,15204352,15550018276,15550018276,0,0,True
22,CORD,0,2,268435456,15642709872,15642709872,0,0,True
,CORD,0,2,268435456,15689584046,15689584046,0,0,True
,CORD,0,2,132644864,15740632748,15740632748,0,0,True
23,CORD,0,3,20840448,15740632748,15751959196,11326448,10000000,False
24,CORD,0,4,60030976,15740632748,15762167600,21534852,10000000,False
25,CORD,0,2,268435456,15820015444,15820015444,0,0,True
,CORD,0,2,54525952,15866889618,15866889618,0,0,True
26,CORD,0,3,268435456,15903575100,15903575100,0,0,True
,CORD,0,3,257032192,15950449274,15950449274,0,0,True
27,CORD,0,4,213909504,16313704162,16313704162,0,0,True
28,CORD,0,2,268435456,16353986643,16353986643,0,0,True
,CORD,0,2,68026368,16400860817,16400860817,0,0,True
29,CORD,0,4,95682560,16540015865,16540015865,0,0,True
